department_descr,product_group_descr,product_module_descr,rating_avg,rating_normalized
DRY GROCERY,CANDY,CANDY-NON-CHOCOLATE-MINIATURES,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,CANDY-NON-CHOCOLATE,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,CANDY-LOLLIPOPS,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,MARSHMALLOWS,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,CANDY-KITS,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,CANDY-DIETETIC - NON-CHOCOLATE,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,PERISHABLE NONCHOCOLATE CANDY,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,PERISHABLE MARSHMALLOW,4.1039603960396,0.312442833630403
DRY GROCERY,CANDY,GIFT PACKAGE WITH CANDY OR GUM,4.1039603960396,0.312442833630403
DRY GROCERY,GUM,GUM-BUBBLE,4.1039603960396,0.312442833630403
DRY GROCERY,GUM,GUM-CHEWING,4.1039603960396,0.312442833630403
DRY GROCERY,GUM,GUM-CHEWING-SUGARFREE,4.1039603960396,0.312442833630403
DRY GROCERY,GUM,GUM-BUBBLE-SUGARFREE,4.1039603960396,0.312442833630403
DRY GROCERY,GUM,PERISHABLE GUM,4.1039603960396,0.312442833630403
DRY GROCERY,FRUIT - CANNED,PIE & PASTRY FILLING - CANNED,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - APPLE SAUCE,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - APPLES,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT-APRICOTS,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - BERRIES,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CRANBERRIES - SHELF STABLE,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - FIGS,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT-FRUIT COCKTAIL,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - FRUIT MIXES & SALAD FRUITS,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT-GRAPEFRUIT,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - ORANGES,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT - PEACHES - FREESTONE,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT-PEACHES-CLING,3.05561385099685,0.0276504576736691
DRY GROCERY,FRUIT - CANNED,CANNED FRUIT-PEARS,3.05561385099685,0.0276504576736691
